"fips","state","base","service_branch","zip_code","coordinates","nmc","miles_to_nmc","headcount_below_2000","total_sponsors","total_spouses","children0-5","children6-11","children12-18","children19andup","other_dependents","total_personnel","family_support_center","personal_financial_management","chaplains","morale_welfare_recreation","county","median_contract_rent","geometry"
"51740","Virginia","Norfolk Naval Shipyard","Navy","23709","36.817453, -76.301358","Norfolk",3,"Yes",637,391,294,232,144,20,"3","1721","YES","YES","NO","YES","Portsmouth city, Virginia",999,c(2084906.68567704, -610864.37410925)
"42041","Pennsylvania","Navy Ships Parts
Control Center","Navy","17055","40.22814, -76.98632","Harrisburg",10,"Yes",156,108,52,75,78,13,"1","483","NO","NO","NO","NO","Cumberland County, Pennsylvania",977,c(1928881.1427371, -259054.870160531)
"42041","Pennsylvania","Carlisle Barracks","Army","17013","40.21030, -77.17406","Harrisburg",18,"Yes",503,427,136,326,375,133,"3","1903","YES","YES","YES","YES","Cumberland County, Pennsylvania",977,c(1914171.82600085, -265373.401430277)
"39049","Ohio","Navy Finance Center","Navy","44199","39.977277, -82.913527","Cleveland",0,"Yes",224,174,114,113,80,15,"2","722","NO","NO","NO","NO","Franklin County, Ohio",976,c(1448028.77286906, -407878.694343161)
"39049","Ohio","Columbus Def Depot","Army","43216","39.972667, -82.893862","Columbus",0,"Yes",198,133,101,100,61,8,"1","602","NO","NO","NO","YES","Franklin County, Ohio",976,c(1449766.12926338, -408038.078199937)
"48355","Texas","Corpus Christi NAS","Navy","78419","27.693934, -97.266927","Corpus Christi",10,"Yes",1367,500,321,206,116,29,"0","2539","YES","YES","YES","YES","Nueces County, Texas",967,c(272574.764317714, -1909216.42230524)
"26099","Michigan","Detroit Arsenal","Army","48092","42.491993, -83.038632","Warren",0,"Yes",127,100,56,94,73,28,"2","480","YES","YES","YES","YES","Macomb County, Michigan",944,c(1382294.89279569, -134996.855696345)
"32001","Nevada","Fallon NAS","Navy","89496","39.420350, -118.724381","Reno",70,"Yes",935,488,348,237,128,32,"1","2169","NO","YES","YES","YES","Churchill County, Nevada",941,c(-1597160.77094556, -438541.628975672)
"06029","California","China Lake NAVWEAPCEN","Navy","93555","35.651565, -117.660997","Los Angeles",140,"Yes",548,272,182,169,84,17,"0","1272","YES","YES","YES","YES","Kern County, California",938,c(-1589981.39108348, -870095.273556394)
"06029","California","Edwards AFB","Air Force","93524","34.923783, -117.897244","Los Angeles",95,"Yes",1910,987,706,541,295,44,"8","4491","YES","YES","YES","YES","Kern County, California",938,c(-1626309.06175327, -945012.709805578)
"12033","Florida","Naval Hospital Pensacola","Navy","32512","30.398450, -87.299238","Pensacola",0,"Yes",763,354,231,170,106,29,"3","1656","NO","NO","NO","NO","Escambia County, Florida",938,c(1224786.35154864, -1526634.96068841)
"42133","Pennsylvania","Defense Distribution
Depot Susquehanna","Army","17070","40.21199, -76.85083","Philadelphia",60,"Yes",286,207,161,147,108,16,"4","929","YES","NO","YES","YES","York County, Pennsylvania",895,c(1940340.58446021, -257608.988966721)
"42003","Pennsylvania","Pittsburgh MEPS/
ENDIST","Army","15222","40.44337, -79.99476","Pittsburgh",0,"Yes",255,156,148,94,58,4,"2","717",NA,"NO","NO","NO","Allegheny County, Pennsylvania",874,c(1677895.88778383, -301706.446010494)
"55079","Wisconsin","Gen Billy Mitchell Field/RSV","Air Force","53207","42.947855, -87.901944","Milwaukee",10,"Yes",168,107,71,57,41,6,"0","450","NO","NO","NO","NO","Milwaukee County, Wisconsin",868,c(982990.344598201, -155262.381106676)
"38035","North Dakota","Grand Forks AFB","Air Force","58205","47.951734, -97.390293","Grand Forks",15,"Yes",1659,734,553,346,228,31,"9","3560","YES","YES","YES","YES","Grand Forks County, North Dakota",860,c(194999.005765977, 331243.244219997)
"37051","North Carolina","Pope AFB","Air Force","28308","35.171396, -79.017544","Fayetteville",12,"Yes",1568,891,726,500,213,35,"1","3934","YES","YES","YES","YES","Cumberland County, North Carolina",855,c(1894002.29810949, -853655.721886895)
