"fips","state","base","service_branch","zip_code","coordinates","nmc","miles_to_nmc","headcount_below_2000","total_sponsors","total_spouses","children0-5","children6-11","children12-18","children19andup","other_dependents","total_personnel","family_support_center","personal_financial_management","chaplains","morale_welfare_recreation","county","median_contract_rent","geometry"
"08041","Colorado","USAF Academy","Air Force","80840","38.998401, -104.861875","Colorado Springs",8,"No",2070,1044,747,718,584,106,"10","5279","NO","YES","YES","YES","El Paso County, Colorado",1332,c(-421370.561100957, -654069.520078664)
"22075","Louisiana","New Orleans NAS JRB","Navy","70143","29.824834, -90.020021","New Orleans",0,"Yes",463,257,162,120,102,27,"1","1132","YES","YES","YES","YES","Plaquemines Parish, Louisiana",1326,c(970260.522623294, -1623868.79330883)
"36071","New York","Stewart Newburgh USARC","Army","12550","41.502060, -74.082805","New York",60,"Yes",259,136,76,66,36,4,"1","578","NO","NO","NO","NO","Orange County, New York",1305,c(2120299.82178583, -50051.2732500114)
"36071","New York","West Point MILRES","Army","10996","41.390925, -73.978758","New York",50,"Yes",1527,890,711,625,541,112,"11","4417","YES","YES","YES","YES","Orange County, New York",1305,c(2132197.80058838, -59245.5703963994)
"24025","Maryland","Aberdeen Proving Ground","Army","21005","39.463803, -76.127823","Baltimore",23,"Yes",831,588,331,366,422,115,"19","2672","YES","YES","YES","YES","Harford County, Maryland",1290,c(2021498.06834012, -320956.708379598)
"02020","Alaska","Elmendorf AFB","Air Force","99506","61.252735, -149.798069","Anchorage",2,"No",5504,2722,1900,1431,830,126,"26","12539","YES","YES","YES","YES","Anchorage Municipality, Alaska",1285,c(-1507368.19658737, -2082924.36691781)
"02020","Alaska","Fort Richardson","Army","99505","61.253827, -149.692794","Anchorage",8,"No",5141,2480,1721,1094,589,80,"27","11132","YES","YES","YES","YES","Anchorage Municipality, Alaska",1285,c(-1504703.41924333, -2082410.80823425)
"45013","South Carolina","Parris Island MCRD","Marine Corps","29905","32.351270, -80.689530","Savannah, GA",43,"No",7408,1117,921,505,246,44,"7","10248","YES","YES","YES","YES","Beaufort County, South Carolina",1278,c(1809499.62517005, -1196634.72957104)
"45013","South Carolina","Beaufort MCAS","Marine Corps","29904","32.45974, -80.71642","Savannah, GA",40,"No",3475,1617,1063,647,385,64,"3","7254","NO","YES","YES","YES","Beaufort County, South Carolina",1278,c(1804666.45772231, -1185408.25646402)
"49011","Utah","Hill AFB","Air Force","84056","41.120713, -111.977634","Ogden",6,"No",4201,2241,1485,1222,726,98,"12","9985","YES","YES","YES","YES","Davis County, Utah",1278,c(-1001969.68717748, -358077.933904251)
